model,url,overall_rating,adult_occupant,child_occupant,vulnerable_road_users,safety_assist
Alpine A390,https://www.euroncap.com/en/results/alpine/a390/57904,,,,,
CHERY TIGGO 4,https://www.euroncap.com/en/results/chery/tiggo+4/59029,,,,,
Deepal S05,https://www.euroncap.com/en/results/deepal/s05/57959,,,,,
EBRO s400,https://www.euroncap.com/en/results/ebro/s400/59033,,,,,
EXLANTIX ET,https://www.euroncap.com/en/results/exlantix/et/57076,,,,,
GEELY STARRAY EM-i,https://www.euroncap.com/en/results/geely/starray+em-i/58922,,,,,
Hyundai NEXO,https://www.euroncap.com/en/results/hyundai/nexo/57960,,,,,
Jeep Compass,https://www.euroncap.com/en/results/jeep/compass/57079,,,,,
Kia EV4,https://www.euroncap.com/en/results/kia/ev4/57961,,,,,
Kia EV4,https://www.euroncap.com/en/results/kia/ev4/58199,,,,,
Kia PV5 Passenger,https://www.euroncap.com/en/results/kia/pv5+passenger/58928,,,,,
MAZDA CX-5,https://www.euroncap.com/en/results/mazda/cx-5/58931,,,,,
Mercedes-Benz CLA,https://www.euroncap.com/en/results/mercedes-benz/cla-class/58934,,,,,
MG MG4 EV URBAN,https://www.euroncap.com/en/results/mg/mg4+ev+urban/58937,,,,,
Mitsubishi Eclipse Cross,https://www.euroncap.com/en/results/mitsubishi/eclipse+cross/59034,,,,,
Porsche Cayenne,https://www.euroncap.com/en/results/porsche/cayenne/58878,,,,,
Renault Clio,https://www.euroncap.com/en/results/renault/clio/59039,,,,,
Toyota Aygo X,https://www.euroncap.com/en/results/toyota/aygo+x/59040,,,,,
Toyota Yaris,https://www.euroncap.com/en/results/toyota/yaris/57084,,,,,
VW T-Roc,https://www.euroncap.com/en/results/vw/t-roc/59042,,,,,
Audi A3,https://www.euroncap.com/en/results/audi/a3/57954,,,,,
BMW 2 Series Gran Coupé,https://www.euroncap.com/en/results/bmw/2+series+gran+coup%c3%a9/57955,,,,,
BYD SEAL 6,https://www.euroncap.com/en/results/byd/seal+6/57956,,,,,
CUPRA Formentor,https://www.euroncap.com/en/results/cupra/formentor/57957,,,,,
CUPRA Leon,https://www.euroncap.com/en/results/cupra/leon/57958,,,,,
Hongqi EHS7,https://www.euroncap.com/en/results/hongqi/ehs7/58093,,,,,
Kia EV5,https://www.euroncap.com/en/results/kia/ev5/57962,,,,,
Leapmotor B10,https://www.euroncap.com/en/results/leapmotor/b10/57963,,,,,
Lucid Gravity,https://www.euroncap.com/en/results/lucid/gravity/57964,,,,,
Mercedes-Benz CLE Coupé,https://www.euroncap.com/en/results/mercedes-benz/cle+coup%c3%a9/58374,,,,,
MG MGS9 PHEV,https://www.euroncap.com/en/results/mg/mgs9+phev/57965,,,,,
Nissan Qashqai,https://www.euroncap.com/en/results/nissan/qashqai/57980,,,,,
