url,vehicle,rescue_sheet,advanced_ecall,multi_collision_brake,submergence_check,system_name,type,operational_from,speed_limit_information_function,speed_control_function,applies_to,fatigue,emergency_lane_keeping,lane_keep_assist,human_machine_interface,sensor_used,distraction,impairment,additional_information,avoidance,warning_function,speed_limitation_function,warning,lka_confirmation_test,ldw_confirmation_test,variant
https://www.euroncap.com/en/results/bmw/x3/57073,BMW X3,"Available, ISO compliant",Available,Available,Compliant,Front collision warning with brake intervention,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/vw/t-roc/59042,VW T-Roc,"Available, ISO compliant",Available,Available,Compliant,Front Assist,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/mg/hs/53051,MG HS,"Available, ISO compliant",Available,Available,Partially Compliant,Car to Car AEB,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Sleep,Good,Good,Good,camera,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/mercedes-benz/cla-class/58934,Mercedes-Benz CLA,"Available, ISO compliant",Available,Available,Partially Compliant,Brake Assist,Autonomous emergency braking and forward collision warning,7 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,Long Distraction,Unresponsive Driver,,,,,,,,
https://www.euroncap.com/en/results/mazda/cx-5/58931,MAZDA CX-5,"Available, ISO compliant",Available,Available,Compliant,Smart Brake Support,Autonomous emergency braking and forward collision warning,4 km/h,Camera & Map,Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long Distraction,,,,,,,,,
https://www.euroncap.com/en/results/porsche/cayenne/58878,Porsche Cayenne Electric,"Available, ISO compliant",Available,Available,Partially Compliant,Warn- und Bremsassistent,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/geely/starray+em-i/58922,GEELY STARRAY EM-i,"Available, ISO compliant",Available,Available,Compliant,Autonomous Emergency Brake,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/deepal/s05/57959,Deepal S05,"Available, ISO compliant",Available,Available,Compliant,AEB Car-to-Car,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter default ON (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Good,Good,Good,radar,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/hyundai/nexo/57960,Hyundai NEXO,"Available, ISO compliant",Available,Available,Compliant,Forward Collision-Avoidance Assist (FCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/exlantix/et/57076,EXLANTIX ET,"Available, ISO compliant",Available,Available,Compliant,Lane Departure Assist - Lane Departure Warning - Emergency Lane Keeping,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/mitsubishi/eclipse+cross/59034,Mitsubishi Eclipse Cross,"Available, ISO compliant",Available,Available,Partially Compliant,Active Emergency Braking System,Autonomous emergency braking and forward collision warning,7 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/ebro/s400/59033,EBRO s400,"Available, ISO compliant",Available,Available,Compliant,Lane Support System,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Good,Good,Good,camera,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/chery/tiggo+4/59029,CHERY TIGGO 4,"Available, ISO compliant",Available,Available,Compliant,Lane Support System,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Microsleep and Sleep,Good,Good,Good,camera,Long & Short Distraction and Phone Use,,,,,,,,,
https://www.euroncap.com/en/results/kia/ev4/57961,Kia EV4,"Available, ISO compliant",Available,Available,Compliant,Forward Collision-Avoidance Assist (FCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/renault/clio/59039,Renault Clio,"Available, ISO compliant",Available,Available,Compliant,Active Emergency Braking System,Autonomous emergency braking and forward collision warning,7 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter default ON (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/alpine/a390/57904,Alpine A390,"Available, ISO compliant",Available,Available,Compliant,Active Emergency Braking System,Autonomous emergency braking and forward collision warning,7 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long Distraction,,,,,,,,,
https://www.euroncap.com/en/results/jeep/compass/57079,Jeep Compass,"Available, ISO compliant",Available,Available,Partially Compliant,Active Safety Brake,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/toyota/yaris/57084,Toyota Yaris,"Available, ISO compliant",Available,Available,Compliant,Pre-Collision System as part of Toyota Safety Sense,Autonomous emergency braking and forward collision warning,5 km/h,", subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/kia/pv5+passenger/58928,Kia PV5 Passenger,"Available, ISO compliant",Available,Available,Compliant,Forward Collision-Avoidance Assist (FCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera and radar,Long and Short Distraction,,,,,,,,,
https://www.euroncap.com/en/results/toyota/aygo+x/59040,Toyota Aygo X,"Available, ISO compliant",Available,Available,Compliant,Pre-Collision System (PCS),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Speed Limitation Function (accurate to 10km/h),Front and rear seats,Drowsiness and Sleep,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/deepal/s07/59547,Deepal S07 (reassessment),"Available, ISO compliant",Available,Available,Compliant,AEB Car to Car,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/mg/mg4+ev+urban/58937,MG MG4 EV URBAN,"Available, ISO compliant",Available,Available,Compliant,AEB C2C,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,"Drowsiness, Microsleep and Sleep",Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/cupra/formentor/57957,CUPRA Formentor,"Available, ISO compliant",Available,Available,Compliant,Front Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent Speed Limiter not default ON (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
