case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
SR/04459/25,,,Motor vehicles,Passenger car,Genesis,GV60,"JW, e4*2018/858*00060*",16.12.2021 - 29.6.2024,,51D152,Injuries,"The upper windscreen trim may become detached, fall onto the road and pose a danger to following traffic. There is a risk of accident and injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097148,
SR/04483/25,,,Motor vehicles,Passenger car,Mercedes-Benz,CLA-Class,e1*2018/858*00500*00-*01 (MMCLAE),19.03.2025 - 8.09.2025,,9190024,Injuries,"The screw attachments of the front seats and/or belt buckles are insufficient. This could impair their restraining effect. This increases the risk of accident and injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097192,
SR/04372/25,,,Motor vehicles,Passenger car,Peugeot,"3008, 5008","K, e2*2018/858*00064*00-*07",24/07/2023 - 28/02/2025,,MYV,Injuries,"The screw breakage can lead to a loss of screws. This could affect the ability to steer the vehicle and cause an accident.’ The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Passenger car, repaired as part of the ball joints campaign (recall code MU8)",Germany,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096973,
SR/04367/25,,,Motor vehicles,Passenger car,Bentley,"CONTINENTAL GT, CONTINENTAL GTC, FLYING SPUR",e13*2007/46*0634* (3S),23/07/2024 - 23/07/2025,,RE25/41,Fire,"The high-pressure fuel pump is not correctly attached to the engine, which could lead to a fuel leak, and a fire. The product does not comply with the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096975,
SR/04382/25,,,Motor vehicles,Passenger car,Audi,"A6, A7, Q7, Q8","F2, 4L, e1*2007/46*1801*, e1*2001/116*0350*",17.03.2025 - 30.07.2025,,692K,Injuries,"The product has a defect in the buckle and the anchorage of the seat belt, which may result in insufficient restraining effect of the seatbelt, increasing the risk of injuries, in particular to the passengers of the front seats. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096994,
SR/04359/25,,,Motor vehicles,Passenger car,Ford,"CAPRI, EXPLORER",e1*2018/858*00364*02-*05 (DRP),18.8.2024 - 19.9.2025,,25SA1,Injuries,"The seat back may become detached as a result of a faulty screw connection, which may lead to injuries in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097017,
SR/04370/25,,,Motor vehicles,Passenger car,Opel/Vauxhall,Grandland V2,"e2*2018/858*00064*04 - e2*2018/858*00064*08, g11*2018/858*00524*01 - g11*2018/858*00524*03",08/05/2024 - 27/02/2025 // VIN: VXKKAHPY8R6015952 - VXKKBDGH1T6000111,,KU2,Injuries,"The fixing screws on the front left and right ball joint mount on the front lower suspension arm may break. This could cause the ball joint mount to pivot and the affected wheel to change direction and hit the mudguard, which may affect the steering capacity of the vehicle and cause an accident.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 24/11/2025,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097059,
SR/04357/25,,,Motor vehicles,Passenger car,Peugeot,"3008 V3, 5008 V3","e2*2018/858*00064*00 - e2*2018/858*00064*07  3008 V3, e2*2018/858*00064*02 - e2*2018/858*00064*08  5008 V3, g11*2018/858*00524*00 - g11*2018/858*00524*02  3008 V3, g11*2018/858*00524*00 - g11*2018/858*00524*02  5008 V3",15/03/2024 - 28/02/2025 // VIN : VR3KAHPY1RS021078 - VR3KBDGH5TS001772 5008 V324/07/2023 - 28/02/2025 // VIN : VR3KCZKZXPS088817 - VR3KAHPY5TS001877 3008 V3.,,MYV,Injuries,"The fixing screws on the front left and right ball joint mount on the front lower suspension arm may break. This could cause the ball joint mount to pivot and the affected wheel to change direction and hit the mudguard, which may affect the steering capacity of the vehicle and cause an accident.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 24/11/2025,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097062,
SR/04434/25,,,Motor vehicles,Passenger car,Jaguar,E-PACE,e5*2007/46*1050*02-*10 (DF),26.05.2020 - 28.05.2024,,H552,"Burns, Injuries","The front-seat passenger airbag is incorrectly folded and may therefore tear when it is deployed. This may cause injuries to passengers. In addition, hot gases could leak out and vehicle occupants could sustain burns. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Car,Germany,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097081,
SR/04433/25,,,Motor vehicles,Passenger car,Audi,RS Q8,e1*2001/116*0367* (4L),09.04.2025,,23HD,Fire,"The high-pressure fuel pump may not be correctly affixed to the cylinder head. As a result, the connection between the pump and the fuel pipes may not be properly sealed. This may result in a fuel leakage, which could originate a fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097087,
