amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
ALFA ROMEO,TONALE HATCHBACK,1.3 PHEV Sprint 5dr Auto,5,83,85,67,85
ALFA ROMEO,TONALE HATCHBACK,1.3 PHEV Veloce 5dr Auto,5,83,85,67,85
ALFA ROMEO,TONALE HATCHBACK,1.5 MHEV Sprint 5dr Auto,5,83,85,67,85
ALFA ROMEO,TONALE HATCHBACK,1.5 MHEV Veloce 5dr Auto,5,83,85,67,85
ALFA ROMEO,TONALE HATCHBACK SPECIAL EDITION,1.3 PHEV Intensa 5dr Auto,5,83,85,67,85
ALFA ROMEO,TONALE HATCHBACK SPECIAL EDITION,1.5 MHEV Intensa 5dr Auto,5,83,85,67,85
ALPINE,A290 HATCHBACK,130kW GT 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,130kW GT Premium 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,160kW GT Performance 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,160kW GTS 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK SPECIAL EDITION,160kW Premiere Edition 52kWh 5dr Auto,4,80,80,76,68
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr [Tech Pack],5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr S Tronic,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr S Tronic [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI Black Edition 5dr S Tronic [Tech Pack],5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr [Tech Pack],5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr S Tronic,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr S Tronic [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI S Line 5dr S Tronic [Tech Pack],5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr [Tech Pack],5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr S Tronic,5,95,85,73,80
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr S Tronic [Tech Pack Pro],5,,,,
AUDI,A1 SPORTBACK,25 TFSI Sport 5dr S Tronic [Tech Pack],5,95,85,73,80
