amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
ALPINE,A290 HATCHBACK,130kW GT 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,130kW GT Premium 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,160kW GT Performance 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK,160kW GTS 52kWh 5dr Auto,4,80,80,76,68
ALPINE,A290 HATCHBACK SPECIAL EDITION,160kW Premiere Edition 52kWh 5dr Auto,4,80,80,76,68
AUDI,A6 E-TRON AVANT,210kW 83kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,210kW 83kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,210kW 83kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,210kW 83kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,210kW 83kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,210kW 83kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh Black Ed 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,270kW Performance 100kWh Vorsprung  5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,315kW Quattro 100kWh Vorsprung 5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,370kW S6 Qtro 100kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON AVANT,370kW S6 Quattro 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON AVANT,370kW S6 Quattro 100kWh Vorsprung 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,210kW 83kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh Black Ed 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,270kW Performance 100kWh Vorsprung 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh S Line 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh S Line 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh Sport 5dr Auto,5,92,91,75,80
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh Sport 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,315kW Quattro 100kWh Vorsprung 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,370kW S6 Qtro 100kWh Black Edition 5dr Auto [Tech],5,,,,
AUDI,A6 E-TRON SPORTBACK,370kW S6 Quattro 100kWh Black Edition 5dr Auto,5,,,,
AUDI,A6 E-TRON SPORTBACK,370kW S6 Quattro 100kWh Vorsprung 5dr Auto,5,,,,
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Black Edition 5dr Auto [Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Black Edition 5dr Auto [Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh S Line 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh S Line 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh S Line 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Sport 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Sport 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,150kW 40 63kWh Sport 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Black Edition 5dr Auto [Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Black Edition 5dr Auto [Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh S Line 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh S Line 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh S Line 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Sport 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Sport 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 82kWh Sport 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Qtro 82kWh Black Ed 5dr Auto [Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Qtro 82kWh Black Ed 5dr Auto [Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Qtro 82kWh S Line 5dr Auto [Lth/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Qtro 82kWh Sport 5dr Auto [Lth/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Quattro 82kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Quattro 82kWh S Line 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Quattro 82kWh S Line 5dr Auto [Lth/Tech],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Quattro 82kWh Sport 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,210kW 45 Quattro 82kWh Sport 5dr Auto [Lth/Tech],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Qtro 82kWh Black Ed 5dr Auto [Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Qtro 82kWh Black Ed 5dr Auto [Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Qtro 82kWh S Line 5dr Auto [Lth/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Qtro 82kWh Sport 5dr Auto [Lth/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Quattro 82kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Quattro 82kWh S Line 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Quattro 82kWh S Line 5dr Auto [Lth/Tech],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Quattro 82kWh Sport 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON ESTATE,250kW 55 Quattro 82kWh Sport 5dr Auto [Lth/Tech],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Black Edition 5dr Auto [Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Black Edition 5dr Auto [Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh S Line 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh S Line 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh S Line 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Sport 5dr Auto [Leather/Tech Pack],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Sport 5dr Auto [Leather/Tech Pro],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,150kW 40 63kWh Sport 5dr Auto [Leather],5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,210kW 45 82kWh Black Edition 5dr Auto,5,91,87,79,73
AUDI,Q4 E-TRON SPORTBACK,210kW 45 82kWh Black Edition 5dr Auto [Tech Pack],5,91,87,79,73
